,index,sent_counts,sp_counts,ratio
0,0,1,0,0.0
1,1,2,0,0.0
2,2,2,1,0.5
3,3,3,1,0.3333333333333333
4,4,2,1,0.5
5,5,2,1,0.5
6,6,2,1,0.5
7,7,1,0,0.0
8,8,3,2,0.6666666666666666
9,9,1,1,1.0
10,10,1,0,0.0
11,11,2,1,0.5
12,12,3,1,0.3333333333333333
13,13,1,1,1.0
14,14,3,2,0.6666666666666666
15,15,3,0,0.0
16,16,4,0,0.0
17,17,3,1,0.3333333333333333
18,18,1,0,0.0
19,19,1,1,1.0
20,20,2,2,1.0
21,21,1,1,1.0
22,22,5,0,0.0
23,23,2,1,0.5
24,24,1,1,1.0
25,25,3,1,0.3333333333333333
26,26,1,1,1.0
27,27,2,1,0.5
28,28,3,0,0.0
29,29,2,0,0.0
30,30,2,0,0.0
31,31,3,1,0.3333333333333333
32,32,2,1,0.5
33,33,1,1,1.0
34,34,4,0,0.0
35,35,1,1,1.0
36,36,2,2,1.0
37,37,1,1,1.0
38,38,2,0,0.0
39,39,1,1,1.0
40,40,2,0,0.0
41,41,2,0,0.0
42,42,3,0,0.0
43,43,2,0,0.0
44,44,1,1,1.0
45,45,1,0,0.0
46,46,1,1,1.0
47,47,4,1,0.25
48,48,1,1,1.0
49,49,3,0,0.0
50,50,2,1,0.5
51,51,3,0,0.0
52,52,1,0,0.0
53,53,4,2,0.5
54,54,2,0,0.0
55,55,2,1,0.5
56,56,2,1,0.5
57,57,4,1,0.25
58,58,2,1,0.5
59,59,3,1,0.3333333333333333
60,60,4,1,0.25
61,61,3,3,1.0
62,62,2,1,0.5
63,63,2,2,1.0
64,64,2,0,0.0
65,65,3,1,0.3333333333333333
66,66,2,1,0.5
67,67,1,1,1.0
68,68,3,1,0.3333333333333333
69,69,1,0,0.0
70,70,2,1,0.5
71,71,2,2,1.0
72,72,1,1,1.0
73,73,1,1,1.0
74,74,3,0,0.0
75,75,1,1,1.0
76,76,1,1,1.0
77,77,2,1,0.5
78,78,2,1,0.5
79,79,2,1,0.5
80,80,4,2,0.5
81,81,1,0,0.0
82,82,2,0,0.0
83,83,4,1,0.25
84,84,4,3,0.75
85,85,4,1,0.25
86,86,4,0,0.0
87,87,3,1,0.3333333333333333
88,88,3,0,0.0
89,89,2,0,0.0
90,90,1,1,1.0
